Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,NationalID,Occupation,Company,BloodType,Pounds,Kilograms,FeetInches,Centimeters
1,female,American,Mrs.,Kara,E,Lopez,"2070 Ferry Street",Huntsville,AL,Alabama,35806,US,"United States",256-705-2666,1,Shelton,6/4/1935,84,420-51-2453,"Technical recruiter","Stop and Shop",B+,133.1,60.5,"5' 7""",170
2,female,American,Ms.,Mary,L,Levine,"1242 May Street",Allen,KY,Kentucky,41601,US,"United States",606-269-4034,1,Horner,2/1/1993,26,407-17-7705,"Forming machine operator","Market Basket",A+,116.8,53.1,"5' 5""",165
3,female,American,Ms.,Linda,W,McIntyre,"2696 Cambridge Place",Fork,MD,Maryland,21051,US,"United States",410-592-4206,1,Henderson,7/8/1957,62,220-61-3643,"Elevator mechanic","J. B. Van Sciver",O+,127.2,57.8,"5' 3""",161
4,female,American,Mrs.,Melissa,J,Kittrell,"4230 Northwest Boulevard","Jersey City",NJ,"New Jersey",07304,US,"United States",201-946-1744,1,Arterburn,6/14/1994,25,155-76-9045,"Intercity bus driver","Tee Town",O+,121.4,55.2,"5' 2""",157
5,female,American,Ms.,Maria,R,Rankin,"194 Johnstown Road",Schaumburg,IL,Illinois,60173,US,"United States",847-407-8392,1,Waggoner,12/19/1995,23,358-50-0350,Dean,"Liberty Wealth Planner",B+,173.6,78.9,"5' 8""",172
6,female,American,Ms.,Michele,T,McCain,"1087 Simpson Avenue",York,PA,Pennsylvania,17403,US,"United States",717-940-8845,1,Brazier,6/14/1935,84,181-20-0592,"Lodging manager","Franklin Music",A-,178.9,81.3,"5' 5""",166
7,female,American,Mrs.,Annabelle,X,Stanton,"2131 Heavens Way",Sarasota,FL,Florida,34236,US,"United States",941-952-9296,1,Hughes,4/25/1939,80,768-46-4704,Biophysicist,Rink's,O+,201.1,91.4,"5' 6""",167
8,female,American,Mrs.,Deanna,P,Socha,"4094 Frum Street",Nashville,TN,Tennessee,37211,US,"United States",615-332-1188,1,Osterhout,11/25/1950,68,409-72-0362,"Administrative professional","Kelly and Cohen",O+,221.8,100.8,"5' 5""",165
9,female,American,Ms.,Gertie,J,Sisneros,"2226 Ray Court",Fayetteville,NC,"North Carolina",28314,US,"United States",910-322-0418,1,Garcia,8/16/1948,71,683-07-5198,"Public relations consultant",Loblaws,O+,137.7,62.6,"5' 2""",157
10,female,American,Mrs.,Sheryll,E,Sharp,"775 Giraffe Hill Drive",Garland,TX,Texas,75041,US,"United States",972-271-3518,1,Daniel,1/20/1976,43,458-61-4042,"News writer","Funtown toys",A+,228.8,104.0,"5' 4""",162
11,female,American,Mrs.,Susan,J,Brooks,"4159 Lake Forest Drive","New York",NY,"New York",10013,US,"United States",914-274-7460,1,Jackson,3/13/1974,45,119-72-5226,"Enrichment education instructor","Solution Answers",B+,145.0,65.9,"5' 5""",164
12,female,American,Ms.,Angelica,L,Dewitt,"436 Melm Street",Providence,RI,"Rhode Island",02903,US,"United States",401-227-3803,1,Armor,8/23/1972,46,038-42-3685,"Microbiology technologist","Cardinal Stores",O-,143.9,65.4,"5' 6""",167
13,female,American,Mrs.,Alice,J,Sanchez,"1281 Green Avenue",Fremont,CA,California,94536,US,"United States",510-792-0153,1,Foret,10/10/1996,22,610-48-0865,"Speech pathologist",Pointers,B+,198.2,90.1,"5' 3""",160
14,female,American,Ms.,Ruth,J,Jude,"1754 Lawman Avenue",Washington,VA,Virginia,20011,US,"United States",703-286-8797,1,Moore,7/26/1979,40,691-01-0637,"Radiation protection technician","id Boutiques",A+,221.8,100.8,"5' 7""",171
15,female,American,Ms.,Ingrid,I,Patrick,"1051 Kinney Street",Westfield,MA,Massachusetts,01085,US,"United States",413-572-9075,1,George,6/15/1994,25,017-14-9027,"Gaming investigator","Strategy Consulting",A+,107.8,49.0,"5' 7""",170
16,female,American,Mrs.,Kimberly,D,Szabo,"4778 Poe Lane",Bucyrus,KS,Kansas,66013,US,"United States",913-533-7372,1,Clark,11/30/1937,81,514-05-1915,"Aeronautical engineer","Crazy Eddie",B+,134.9,61.3,"5' 2""",158
17,female,American,Ms.,Lois,K,Williams,"2422 Hawks Nest Lane","Saint Louis",MO,Missouri,63108,US,"United States",314-739-3728,1,Alford,1/15/1995,24,493-82-1485,"Genetics nurse","Las Vegas Yard Management",B-,199.3,90.6,"5' 2""",158
18,female,American,Ms.,Sara,J,Washington,"3893 Rinehart Road",Doral,FL,Florida,33178,US,"United States",786-464-7852,1,Betton,7/31/1979,40,263-44-1922,"Immunology technologist","Steve's Ice Cream",O-,207.0,94.1,"5' 7""",171
19,female,American,Ms.,Helen,R,Garland,"4119 Turnpike Drive",Birmingham,AL,Alabama,35203,US,"United States",256-418-5284,1,Oxley,1/13/1991,28,422-86-3460,"Chemical equipment operator","York Steak House",A+,191.8,87.2,"5' 1""",156
20,female,American,Mrs.,Sarah,E,Stills,"3833 Stout Street",Harrisburg,PA,Pennsylvania,17101,US,"United States",717-364-0139,1,Olesen,12/9/1974,44,162-50-4520,"Coil finisher","Edge Yard Service",B+,154.7,70.3,"5' 3""",160
21,female,American,Ms.,Estela,M,Cardello,"992 Bartlett Avenue","Auburn Hills",MI,Michigan,48057,US,"United States",248-512-2795,1,Maxwell,1/15/1958,61,363-74-7244,"Aircraft engineer","Seamans Furniture",O+,180.0,81.8,"5' 7""",170
22,female,American,Ms.,Patricia,A,Thompson,"2181 Wiseman Street","Oak Ridge",TN,Tennessee,37830,US,"United States",865-483-2959,1,Boggess,2/3/1977,42,762-01-9150,"Bus mechanic","Pro Star",B-,148.7,67.6,"5' 9""",174
23,female,American,Ms.,Christina,J,Hughes,"2433 Mesa Drive","Las Vegas",NV,Nevada,89101,US,"United States",702-413-9146,1,Curtis,6/26/1976,43,680-38-0906,"Electromechanical engineering technician","Joshua Doore",O+,186.3,84.7,"5' 5""",164
24,female,American,Ms.,Lori,C,Wilson,"2381 Pike Street","San Diego",CA,California,92126,US,"United States",858-549-1373,1,Kirkland,11/19/1976,42,618-88-9164,"Coil finisher","Tons O' Toys",AB+,224.8,102.2,"5' 3""",159
25,female,American,Ms.,Sharon,Z,Jackson,"685 Bell Street","New York",NY,"New York",10021,US,"United States",212-249-0705,1,Sutton,4/11/1969,50,122-72-7234,"Rehabilitation counselor",Macroserve,B+,140.1,63.7,"5' 1""",154
26,female,American,Ms.,Lisa,J,Cline,"279 Scheuvront Drive",Centennial,CO,Colorado,80112,US,"United States",303-472-2333,1,Day,1/22/1979,40,523-35-5710,"International human resources manager","Monk Home Improvements",A+,207.9,94.5,"5' 4""",162
27,female,American,Ms.,Jo,F,Warnock,"2578 Sherwood Circle",Greensboro,NC,"North Carolina",27410,US,"United States",336-997-9688,1,Whaley,11/16/1974,44,685-09-8730,Anthropologist,"Hudson's MensWear",B+,196.9,89.5,"5' 1""",156
28,female,American,Mrs.,Bonnie,F,Raine,"2532 Cherry Ridge Drive",Utica,MI,Michigan,48317,US,"United States",586-254-2640,1,Jones,6/24/1986,33,372-66-9677,"Cage cashier",Strongbod,O+,156.0,70.9,"5' 1""",154
29,female,American,Mrs.,Lillian,R,Saville,"1072 Benson Street",Phillips,WI,Wisconsin,54555,US,"United States",715-332-1813,1,Olsen,4/25/1987,32,388-64-4217,"Information systems manager","Poore Simon's",A+,142.8,64.9,"5' 4""",162
30,female,American,Ms.,Rosie,F,Hampton,"2657 Hill Croft Farm Road",Sacramento,CA,California,95814,US,"United States",530-548-8674,1,McElroy,4/20/1959,60,622-40-6281,"Water treatment plant and system operator","Integra Investment Service",B+,146.3,66.5,"5' 5""",165
31,female,American,Ms.,Karen,O,Lawrence,"8 Austin Avenue",Savannah,GA,Georgia,31401,US,"United States",912-257-7859,1,Carney,2/16/1950,69,675-01-3677,"Accounts receivable clerk","Record & Tape Outlet",A+,151.6,68.9,"5' 1""",155
32,female,American,Mrs.,Tamara,L,Cunningham,"945 Winifred Way",Anderson,IN,Indiana,46016,US,"United States",765-641-4468,1,Zito,2/10/2000,19,312-98-2173,"Job service consultant","Aaronson Furniture",B+,134.6,61.2,"5' 7""",169
33,female,American,Mrs.,Krystyna,J,Nunez,"4220 Nuzum Court",Getzville,NY,"New York",14068,US,"United States",716-639-9838,1,Reeves,11/25/1964,54,131-92-7439,"Attendance clerk","Gino's Hamburgers",O+,159.1,72.3,"5' 0""",153
34,female,American,Ms.,Nelly,P,Woodruff,"3811 Hawks Nest Lane","Saint Louis",MO,Missouri,63129,US,"United States",314-782-1437,1,Darbonne,10/24/1967,51,494-24-5526,"Information architect","H.C. Bohack",A+,216.5,98.4,"5' 7""",171
35,female,American,Mrs.,Alice,J,Gamble,"856 Lost Creek Road",Emmaus,PA,Pennsylvania,18049,US,"United States",610-965-7284,1,Booker,7/11/1940,79,191-82-8002,"Plating and coating machine operator","Grand Union",O+,229.0,104.1,"5' 7""",169
36,female,American,Dr.,Mabel,W,Latham,"1729 Mount Olive Road",Norcross,GA,Georgia,30071,US,"United States",678-887-1454,1,Luciano,3/25/1976,43,668-24-7470,"Quality control inspector","Lee Wards",O-,217.4,98.8,"5' 2""",157
37,female,American,Ms.,Sherley,W,Bender,"4530 Arbutus Drive",Miami,FL,Florida,33012,US,"United States",305-846-9461,1,Cooper,3/9/1941,78,594-67-4884,"Emergency care nurse",Chandlers,O+,216.7,98.5,"5' 5""",166
38,female,American,Mrs.,Julia,W,Bentley,"2743 Old Dear Lane",Poughkeepsie,NY,"New York",12601,US,"United States",845-807-1677,1,Reyes,7/28/1980,39,122-56-8996,"Administrative office assistant","Earthworks Yard Maintenance",O-,117.9,53.6,"5' 7""",171
39,female,American,Ms.,Pamela,W,Johnson,"459 Willison Street",Anoka,MN,Minnesota,55303,US,"United States",763-427-2337,1,Walker,7/17/1995,24,474-86-9121,"Tile installer","Beasts of Beauty",O+,156.9,71.3,"5' 7""",170
40,female,American,Ms.,Debra,G,Hunt,"2395 Single Street","South Boston",MA,Massachusetts,02127,US,"United States",781-572-2634,1,Tharp,2/11/1979,40,019-82-1269,"Professional scout","Solution Bridge",O+,177.8,80.8,"5' 3""",160
41,female,American,Ms.,Jessica,A,Davis,"891 Watson Street",Pleasantville,NJ,"New Jersey",08232,US,"United States",609-713-7431,1,Frederick,6/30/1991,28,152-04-0722,"Athletic director","Belle Ladi",A+,213.2,96.9,"5' 5""",166
